horizon,fold,config,model,n_test,mae,rmse,dir_acc
1,0,B_EconCrossDomain,xgboost,869,0.052640486508607864,0.08717045187950134,0.6409666283084005
1,0,B_EconCrossDomain,ensemble_lgbm_ridge_prior,869,0.05315057488890981,0.08715198609017158,0.6110471806674338
1,1,B_EconCrossDomain,naive_persistence,876,0.03017513081431389,0.05560141056776047,0.7385844748858448
1,1,B_EconCrossDomain,ar1_honest,876,0.03017513081431389,0.05560141056776047,0.7385844748858448
1,1,B_EconCrossDomain,ridge,876,0.033196207135915756,0.050393011420965195,0.6598173515981736
1,1,B_EconCrossDomain,lgbm,876,0.022570827381056854,0.04190888011159028,0.7773972602739726
1,1,B_EconCrossDomain,xgboost,876,0.02239672839641571,0.04166067764163017,0.7808219178082192
1,1,B_EconCrossDomain,ensemble_lgbm_ridge_prior,876,0.023970354809335022,0.04208550057716419,0.769406392694064
1,2,B_EconCrossDomain,naive_persistence,876,0.038354407995939255,0.08010031282901764,0.7214611872146118
1,2,B_EconCrossDomain,ar1_honest,876,0.038354407995939255,0.08010031282901764,0.7214611872146118
1,2,B_EconCrossDomain,ridge,876,0.03881377354264259,0.06378745287656784,0.6426940639269406
1,2,B_EconCrossDomain,lgbm,876,0.02721816727847384,0.05604009958916391,0.7488584474885844
1,2,B_EconCrossDomain,xgboost,876,0.02645678073167801,0.05535653606057167,0.7511415525114156
1,2,B_EconCrossDomain,ensemble_lgbm_ridge_prior,876,0.02866214178037989,0.05814829446781538,0.7442922374429224
1,3,B_EconCrossDomain,naive_persistence,874,0.04579215496778488,0.07131204754114151,0.6395881006864989
1,3,B_EconCrossDomain,ar1_honest,874,0.04579215496778488,0.07131204754114151,0.6395881006864989
1,3,B_EconCrossDomain,ridge,874,0.044264111667871475,0.06482335925102234,0.6155606407322655
1,3,B_EconCrossDomain,lgbm,874,0.035280295621784835,0.05601796833781032,0.6670480549199085
1,3,B_EconCrossDomain,xgboost,874,0.03621132671833038,0.057172998785972595,0.6784897025171625
1,3,B_EconCrossDomain,ensemble_lgbm_ridge_prior,874,0.03754557761061998,0.05944930649421725,0.6578947368421053
1,4,B_EconCrossDomain,naive_persistence,866,0.0374947115778923,0.07224792242050171,0.7655889145496536
1,4,B_EconCrossDomain,ar1_honest,866,0.0374947115778923,0.07224792242050171,0.7655889145496536
1,4,B_EconCrossDomain,ridge,866,0.03954948112368584,0.05930652469396591,0.6986143187066974
1,4,B_EconCrossDomain,lgbm,866,0.027633858552271115,0.04714587341692164,0.8602771362586605
1,4,B_EconCrossDomain,xgboost,866,0.028098445385694504,0.04745509847998619,0.8556581986143187
1,4,B_EconCrossDomain,ensemble_lgbm_ridge_prior,866,0.02936641316159627,0.051090838393697866,0.8163972286374134
1,0,C_TwoStageStack,naive_persistence,869,0.055232372134923935,0.09143320471048355,0.6121979286536249
1,0,C_TwoStageStack,ar1_honest,869,0.055232372134923935,0.09143320471048355,0.6121979286536249
1,0,C_TwoStageStack,ridge,869,0.057818423956632614,0.08964964747428894,0.5327963176064442
1,0,C_TwoStageStack,lgbm,869,0.05314015301627163,0.08781408535914109,0.5972382048331415
1,0,C_TwoStageStack,xgboost,869,0.053564783185720444,0.08724804222583771,0.6006904487917146
1,0,C_TwoStageStack,ensemble_lgbm_ridge_prior,869,0.05316228032142825,0.08721424948667224,0.6041426927502876
1,0,C_TwoStageStack,two_stage_stacking,869,0.05243436322979412,0.08737684791644752,0.6248561565017261
1,1,C_TwoStageStack,naive_persistence,876,0.03017513081431389,0.05560141056776047,0.7385844748858448
1,1,C_TwoStageStack,ar1_honest,876,0.03017513081431389,0.05560141056776047,0.7385844748858448
1,1,C_TwoStageStack,ridge,876,0.029618920758366585,0.047856926918029785,0.684931506849315
1,1,C_TwoStageStack,lgbm,876,0.022593611005169472,0.041903883177521146,0.7831050228310502
1,1,C_TwoStageStack,xgboost,876,0.02193859964609146,0.041145000606775284,0.8002283105022832
1,1,C_TwoStageStack,ensemble_lgbm_ridge_prior,876,0.023537303303243228,0.04203561891238443,0.7705479452054794
1,1,C_TwoStageStack,two_stage_stacking,876,0.026319559184470605,0.044285342260538915,0.7819634703196348
1,2,C_TwoStageStack,naive_persistence,876,0.038354407995939255,0.08010031282901764,0.7214611872146118
1,2,C_TwoStageStack,ar1_honest,876,0.038354407995939255,0.08010031282901764,0.7214611872146118
1,2,C_TwoStageStack,ridge,876,0.033023543655872345,0.05947840213775635,0.682648401826484
1,2,C_TwoStageStack,lgbm,876,0.026844696834199894,0.05585868695192387,0.7488584474885844
1,2,C_TwoStageStack,xgboost,876,0.026109883561730385,0.05474456772208214,0.7568493150684932
1,2,C_TwoStageStack,ensemble_lgbm_ridge_prior,876,0.027415735210419068,0.05751883778605333,0.7557077625570776
1,2,C_TwoStageStack,two_stage_stacking,876,0.030638233628450688,0.05720124886696997,0.7488584474885844
1,3,C_TwoStageStack,naive_persistence,874,0.04579215496778488,0.07131204754114151,0.6395881006864989
1,3,C_TwoStageStack,ar1_honest,874,0.04579215496778488,0.07131204754114151,0.6395881006864989
1,3,C_TwoStageStack,ridge,874,0.04033419117331505,0.061011314392089844,0.6075514874141876
1,3,C_TwoStageStack,lgbm,874,0.035239478642390826,0.056052708259498006,0.6727688787185355
1,3,C_TwoStageStack,xgboost,874,0.03594111278653145,0.05683973804116249,0.6670480549199085
1,3,C_TwoStageStack,ensemble_lgbm_ridge_prior,874,0.036532178372634644,0.058716494849191614,0.6590389016018307
1,3,C_TwoStageStack,two_stage_stacking,874,0.03773231470762708,0.055821376136749395,0.6716247139588101
1,4,C_TwoStageStack,naive_persistence,866,0.0374947115778923,0.07224792242050171,0.7655889145496536
1,4,C_TwoStageStack,ar1_honest,866,0.0374947115778923,0.07224792242050171,0.7655889145496536
1,4,C_TwoStageStack,ridge,866,0.037242788821458817,0.05783090367913246,0.7066974595842956
1,4,C_TwoStageStack,lgbm,866,0.027208208049625877,0.04689000672161884,0.8545034642032333
1,4,C_TwoStageStack,xgboost,866,0.027559084817767143,0.04634639993309975,0.8521939953810623
1,4,C_TwoStageStack,ensemble_lgbm_ridge_prior,866,0.029598913140973432,0.05142475844689997,0.8267898383371824
1,4,C_TwoStageStack,two_stage_stacking,866,0.04395606435365664,0.06067401891237955,0.8625866050808314
1,0,D_TwinEnhanced,naive_persistence,869,0.055232372134923935,0.09143320471048355,0.6121979286536249
1,0,D_TwinEnhanced,ar1_honest,869,0.055232372134923935,0.09143320471048355,0.6121979286536249
1,0,D_TwinEnhanced,ridge,869,0.05993309244513512,0.09063030034303665,0.5304948216340621
1,0,D_TwinEnhanced,lgbm,869,0.05298675856629657,0.0879458970948509,0.6144994246260069
1,0,D_TwinEnhanced,xgboost,869,0.052640486508607864,0.08717045187950134,0.6409666283084005
1,0,D_TwinEnhanced,ensemble_lgbm_ridge_prior,869,0.05315057488890981,0.08715198609017158,0.6110471806674338
1,0,D_TwinEnhanced,twin_enhanced_ensemble,869,0.05330852615869997,0.08721881725580818,0.5949367088607594
